type,name,MSB,LSB,PC
Drum sounds,Standard Kit,120,0,1
Drum sounds,Room Kit,120,0,9
Drum sounds,Power Kit,120,0,17
Drum sounds,Electronic Kit,120,0,25
Drum sounds,TR-808 Kit,120,0,26
Drum sounds,Jazz Kit,120,0,33
Drum sounds,Brush Kit,120,0,41
Drum sounds,Orchestra Kit,120,0,49
Drum sounds,Sound FX Kit,120,0,57
Percussion notes,High Q,120,0,27
Percussion notes,Slap,120,0,28
Percussion notes,Scratch Push,120,0,29
Percussion notes,Scratch Pull,120,0,30
Percussion notes,Sticks,120,0,31
Percussion notes,Square Click,120,0,32
Percussion notes,Metronome Click,120,0,33
Percussion notes,Metronome Bell,120,0,34
Percussion notes,Shaker,120,0,82
Percussion notes,Jingle Bell,120,0,83
Percussion notes,Belltree,120,0,84
Percussion notes,Castanets,120,0,85
Percussion notes,Mute Surdo,120,0,86
Percussion notes,Open Surdo,120,0,87
